model_id,hidden_size,num_layers,num_attention_heads,num_kv_heads,mlp_size,activation,norm_type,position_encoding,context_length,vocab_size,moe_details
meta-llama/Llama-3.1-8B-Instruct,4096,32,32,8,14336,silu,rmsnorm,RoPE,128K,128256,Dense
mistralai/Mistral-7B-Instruct-v0.3,4096,32,32,8,14336,silu,rmsnorm,RoPE,8K,32768,Dense
Qwen/Qwen2.5-7B-Instruct,3584,28,28,4,18944,silu,rmsnorm,RoPE,128K,152064,Dense
allenai/OLMo-2-1124-7B-Instruct,4096,32,32,32,11008,silu,rmsnorm,RoPE,8K,100352,Dense
ibm-granite/granite-3.3-8b-instruct,4096,40,32,8,12800,silu,rmsnorm,RoPE,128K,49159,Dense
deepseek-ai/DeepSeek-V3,7168,61,128,128,18432,silu,rmsnorm,RoPE(YaRN),128K,129280,"{ ""n_shared_experts"": 1,
  ""n_routed_experts"": 256,
  ""ep_size"": 1,
  ""routed_scaling_factor"": 2.5,""topk_method"": ""noaux_tc"", ""n_group"": 8, ""topk_group"": 4, ""num_experts_per_tok"": 8,""moe_intermediate_size"": 2048}"
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,24,32,32,8192,silu,rmsnorm,RoPE,32K,49152,Dense
microsoft/Phi-4-mini-instruct,3072,32,24,8,8192,silu,rmsnorm,LongRoPE,128K,200064,Dense
tiiuae/Falcon3-7B-Instruct,3072,28,12,4,23040,silu,rmsnorm,RoPE,32K,131072,Dense
dicta-il/dictalm2.0-instruct,4096,32,32,8,33152,silu,rmsnorm,RoPE,32k,33152,Dense
