model_id,tokenizer_type,vocab_size,special_tokens,word_boundary_strategy,byte_fallback_or_byte_level,avg_tokens_per_english_word,avg_tokens_per_hebrew_words
meta-llama/Llama-3.1-8B-Instruct,BPE,128256,"['<|begin_of_text|>', '<|eot_id|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']","['Split', 'Regex']",byte-level,1.11,6.04
mistralai/Mistral-7B-Instruct-v0.3,BPE,32768,"['<s>', '</s>', '<unk>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']",Metaspace,byte-Fallback,1.17,6.3
Qwen/Qwen2.5-7B-Instruct,BPE,151665,"['<|im_end|>', '<|endoftext|>', '<|im_start|>', '<|object_ref_start|>', '<|object_ref_end|>', '<|box_start|>', '<|box_end|>', '<|quad_start|>', '<|quad_end|>', '<|vision_start|>', '<|vision_end|>', '<|vision_pad|>', '<|image_pad|>', '<|video_pad|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']","['Split', 'Regex']",byte-level,1.11,2.26
allenai/OLMo-2-1124-7B-Instruct,BPE,100278,"['<|endoftext|>', '<|pad|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']",regex,byte-level,1.11,6.04
ibm-granite/granite-3.3-8b-instruct,BPE,49159,"['<|end_of_text|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']",regex,byte-level,1.2,5.35
deepseek-ai/DeepSeek-V3,BPE,128815,"['<｜begin▁of▁sentence｜>', '<｜end▁of▁sentence｜>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']","['Split', 'Split', 'Split', 'regex']",byte-level,1.1,2.81
HuggingFaceTB/SmolLM2-1.7B-Instruct,BPE,49152,"['<|im_start|>', '<|im_end|>', '<|endoftext|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']",regex,byte-level,1.1,6.81
microsoft/Phi-4-mini-instruct,BPE,200029,"['<|endoftext|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']","['Split', 'regex']",byte-level,1.1,2.27
tiiuae/Falcon3-7B-Instruct,BPE,131072,"['<|endoftext|>', '<|pad|>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']","['Punctuation', 'regex', 'Digits']",byte-level,1.1,5.38
dicta-il/dictalm2.0-instruct,BPE,33152,"['<s>', '</s>', '<unk>', 'bos_token', 'eos_token', 'unk_token', 'sep_token', 'pad_token', 'cls_token', 'mask_token']",Metaspace,byte-Fallback,1.17,2.69
